user,location,text
santamariamonic,Venezuela,#15Abr Soy Mónica Santamaría hermana de José Luis Santamaría hago responsable al Gob de Nicolás Maduro ante situaci… https://t.co/yv4AfsEXOn
GUNNER1337,,"Pero tranquilos, nada mas van 388 muertos. 
Verdad @Lenin ?

#15Abr https://t.co/dW9r7ZycUq"
guzmanalecio,,"#FelizMiercoles #15Abr

""Plan Especial de Desinfección""cada espacio del país. La cuarentena no nos detendrá, seguir… https://t.co/3CAR51vqmB"
contrapuntovzla,,#15Abr Mueren ocho disidentes de las FARC en operación militar en Colombia https://t.co/ioPmWT9rBU https://t.co/hbiepxPYO9
PayULatam,América Latina,"Aprende cómo mejorar tus ventas por medio de herramientas como Facebook, Instagram y WhatsApp Business como un prof… https://t.co/7DUVV1cGFo"
JMendozaDaza,"Barranquilla, Colombia",Elevemos nuestras oraciones por el mundo. Hoy Francia 🇫🇷 registró 1.438 muertos con COVID-19 contabilizando un tota… https://t.co/O6W8oM2H68
bienenterados,Caracas,Servicio delivery en Caracas con sabor a  La Montserratina https://t.co/NVsnm9WLim #RamoVerde #15Abr
hassanamid02,"Medellín, Colombia","Nancy pelosis se va va quedar sin pelusa.

#ElGalloALaParrilla #SiMuerenLosMédicos #15Abr   #LibertadDePresosEs… https://t.co/ngS4orBATq"
edwin_papita,Cabimas-Zulia-Venezuela,"#ATENCION #VENEZUELA
ESTA SUCEDIENDO EN CHURUGUARA #FALCON HOY #15Abr 
EN PLENA CUARENTENA LA CIUDADANIA AMANECIO P… https://t.co/5VUFvue555"
ESPIAEL,,Más de 200 funcionarios de la DGCIM intentan ingresar a la fuerza a Ramo Verde #15Abr https://t.co/MAU5OlyEgR vía @elimpulsocom
ContactoCantv,Venezuela,"#15Abr ¡Hagamos uso responsable de la red! 🤳💻

No envíes archivos de mucho peso, mejor difunde los enlaces o las ru… https://t.co/wWX8GL2HvG"
KiaraJanette,,"#15Abr || Las promesas de #Dios es clara y debemos recordar esto ⤵️
#Dios es nuestro #Socorro 
#Dios es nuestro… https://t.co/TcXhi9fxSJ"
fundamiarbolven,Venezuela,"#15Abr #SabíasQué || Para que un incendio forestal se produzca se necesitan tres elementos como lo es el calor, el… https://t.co/SCyv2GJ424"
Fredyandradea,,"En Guatire, conductores protestaron por falta de gasolina en la E/S Castillejo. Denuncian que tienen más de dos día… https://t.co/ZniyNOkwqb"
Trolebus_Merida,"Ejido, estado Mérida","#15Abr| Edward Rojas, pdte Tromerca: Esta jornada viene a profundizar el trabajo de desinfección que se ha venido r… https://t.co/vbQ5KH16Dn"
guzmanalecio,,"#15Abr |📢 ¡LA ETIQUETA DEL DÍA! ⏩ #VenezuelaBellaEnRevolución

El Gobierno nacional despliega el ""Plan Especial de… https://t.co/ymRdbfAB7e"
Jimnez271,,Egipto y Etiopía podrían ser las primeras dos naciones en ir a la guerra por el agua. El rió nilo atraviesa ambas n… https://t.co/F4hSsy6nSB
ElInformadorVE,#Venezuela,#15Abr  #QuedateEnCasa   OMS: Tres vacunas del Covid-19 están en ensayos clínicos y otras 70 en desarrollo| Amplía… https://t.co/GCGlqqLv8j
amg9847,"Caracas, Venezuela",#15Abr: #Italia reporta 2.667 nuevos casos de #Coronavirus elevándose la cifra total a 165.155 casos y 578 nuevas m… https://t.co/hNY5SEUFfm
Bladimirjgt,,"#15Abr

Elimina uno. https://t.co/nFXwXSjug6"
latpress,,#15Abr | Científicos: coronavirus puede sobrevivir a más de 60 grados https://t.co/ZrVJvuSfbG
SowyTorres,,#15Abr Fuerte bajón de luz en Los Teques 3:08pm
contrapuntovzla,,#15Abr Yummy ofrece entrega de alimentos y bebidas a domicilio en Caracas https://t.co/YU3IjjFRIn https://t.co/wpHHROZsVG
Marte_Ven1,,Habitantes en Anzoátegui protestan en las calles para exigir cajas Clap y agua potable #15Abr (Fotos) https://t.co/1chrPX0ojU
RMarcoTorres,Venezuela,"#15Abr Durante el recorrido por el Bulevar Pérez Almarza para verificar los trabajos de desinfección, constatamos e… https://t.co/UHEETz31Ws"
descifradocom,CARACAS,"Conozca las medidas impuestas a un mes de cuarentena para suministro de gasolina, denuncia @RafaelDGuzmanR, #15Abr.… https://t.co/HKObFjkz7r"
PsuvMirandaVE,"Miranda, Venezuela. ",52 mil 500 familias de Miranda atendidas con jornada Yo Compro en Casa #QuédateEnCasa #VenezuelaBellaEnRevolución… https://t.co/JsH9xOX0A4
MTineo01,,#15Abr #VenezuelaBellaEnRevolución #QuedateEnCasa @NicolasMaduro  @elpachicoruiz @MTineo01 @amelia74698445… https://t.co/nTdfNehaxx
elimpulsocom,Venezuela,Venezuela reclama la constitución de un Gobierno de Emergencia Nacional #15Abr https://t.co/qzMzMZw2NW
ResisTemplario,#ResistenciaVenezuela ,"#15Abr #EstallidoSocial en Puerta. Venezuela Estado Guarico, Valle de La Pascua.  CONTINÚAN LAS PROTESTAS A NIVEL N… https://t.co/EMtCcXu9ab"
secdespachogob1,"Ciudad Bolivar, Venezuela",#15Abr Desde el edo Bolívar mpio. Angostura del Orinoco le deseamos un Feliz Cumpleaños a nuestro Vicepresidente de… https://t.co/OBOJiQG7Gh
elimpulsocom,Venezuela,Fundahullan presenta informe de graves violaciones a los DDHH en los llanos durante cuarentena en la AN #15Abr https://t.co/hpwqmk1Uq8
SoyArepita,Venezuela,"#15Abr ¿Sabes cuáles son los factores psicológicos de riesgo y protección en cuarentena? ⚠️

Mañana hablaremos larg… https://t.co/RYyklV69Mf"
elnegrodurango,"Bogotá, D.C., Colombia","Que se puede esperar de @Rodrigo_Lara_ estará borracho como siempre, como cuando perdió y fue borracho a… https://t.co/OCYsYlQb6r"
Trolebus_Merida,"Ejido, estado Mérida","#15Abr| Jehyson Guzmán: Fueron desplegadas 150 personas, para desinfectar y embellecer, inicialmente, 14Km, utiliza… https://t.co/uegePNGRV1"
contrapuntovzla,,"#15Abr En Cumaná la cuarentena es un calvario, denuncia Unidad Visión Venezuela https://t.co/lRz5xhEK0H https://t.co/NiXVzSTwle"
DiarioContraste,Venezuela | Colombia | Miami,Presos tres venezolanos llegados desde Colombia por divulgar condiciones de un albergue https://t.co/BZmBpIB4eh… https://t.co/dZe2cSjUB1
Corposalud_,"Mérida, Venezuela","#15Abr Resumen Informativo desde la oficina central de información de la Gobernación de #Mérida

#QuédateEnCasa… https://t.co/x5jtqoZARj"
GNB_CZ43,,"#15Abr En estos tiempos de cuarentena social, nuestra GNB se mantienen garantizando la PAZ y ratificando su apoyo a… https://t.co/PfgpUgn74P"
ecupunto,Ecuador,#ATENCIÓN Asamblea Nacional enviará proyecto de ley de Acuicultura y Pesca al Registro Oficial #15Abr https://t.co/kuwk46TumI
JhonattanGonza,,Situación crítica con la escasez de agua en Terrazas de Guaicoco-Mariche. Antes resolvían con cisternas o salían a… https://t.co/4bsd7EGhin
RentdisMx,mex,"¿Saben qué medidas tomaron los blancos durante esta contingencia? 👀

En está imagen se las dejamos. ⚠️

#Rentdis, r… https://t.co/zI84d677BA"
contrapuntovzla,,Presos de la cárcel de Ramo Verde impidieron paso de funcionarios de la Dgcim por temor al coronavirus este #15Abr… https://t.co/zBXVOyFtid
MinPetroleoVE,Venezuela,"🇻🇪 #NOTICIA #15Abr

Hace 7 años Nicolás Maduro obtuvo la presidencia de Venezuela por primera vez. 📲💻… https://t.co/RWiYfMLSeA"
segurosybanca,"Distrito Capital, Venezuela",#15Abr | #Internacionales | Autoridades de Taiwán revelaron que en diciembre le advirtieron a la OMS del coronaviru… https://t.co/p6WrF8sixT
notipromar,"Barquisimeto, Venezuela","#CoronavirusEnVenezuela🦠 

Ante el último reporte ofrecido por el Ministro Jorge Rodríguez le presentamos un balanc… https://t.co/3o7T1adbFs"
ElPitazoTV,Venezuela,"@irene_revilla #Falcón | ""Exigimos que nos dejen pasar porque nosotros somos familiares de las víctimas y ya es hor… https://t.co/U7AVV3GieJ"
RafaelDGuzmanR,"Miranda, Venezuela",#15Abr ¿Así es como estos irresponsables pretenden mantener confinada a nuestra gente un mes más? ¡Irresponsables!… https://t.co/cfGEpjsPmN
RafaelDGuzmanR,"Miranda, Venezuela",#15Abr Un país que ERA productor de petróleo hoy somete a sus ciudadanos a comprar gasolina bachaqueada pagándola a… https://t.co/4N7TSY53ck
locoyabandonado,,Aquí es cuando yo gozo una bola con estos socialistas enclosetaoss 🤣🤣 #15Abr #Temblor #FelizMiercoles #Venezuela… https://t.co/VkOgf8Xrc6
maduradascom,"Caracas, Distrito Capital",¡LO ÚLTIMO! Dólar paralelo sigue imparable tras superar los 130.000 bolívares y así se cotiza este #15Abr (+Tasa pr… https://t.co/47rUUDlqUF
anabarr84,,#15Abr  | Dos médicos fallecieron a causa del #Covid_19 en #Colombia. Los decesos tuvieron lugar en la ciudad de Ca… https://t.co/9uZMjXntxo
libretosinfin,,#15Abr Advertencia Miranda: Cualquier cosa que diga puede y será usada en su contra.
Ricard512,Colombia,"Otros 2???
Y para cuando los equipos de protección????
#coronavirus #CoronavirusColombia #15Abril #15abr… https://t.co/Knm7W5mbXp"
amg9847,"Caracas, Venezuela","#15Abr: Francia reporta 4.560 nuevos casos de #Coronavrus elevándose la cifra total a 147.863 casos, además de 1.43… https://t.co/3hm1vPbYQR"
VTnewsRed,Venezuela,"Puerto Rico: pasajeros de las zonas de mayor contagio en EEUU arriban a la isla 

👉  https://t.co/cCrvB6d2JO… https://t.co/lYukQWr6q1"
ReporteYa,Venezuela,"#15Abr #Coronavirus #Mundo 
Covid-19 Imágenes de una crisis en el mundo. 15 de abril - @EFEnoticias https://t.co/XwU7SxKD68"
contrapuntovzla,,#15Abr ¿Ver o no clases por Zoom? La duda de los estudiantes de la Santa María https://t.co/RZclO5iR7q https://t.co/9GfkhKgOtK
oasistereo1,"La Victoria, Edo Aragua, Venezuela",#ReporteVial Via:@FMCENTER  Intercomunal del #Valle Circulación moderada en ambos sentidos #15Abr #OasisVial
josecard82,,@HenriFalconLara #15abr Hoy en día la tragedia de los venezolanos se agudiza al caer en cuenta de una realidad brut… https://t.co/YkoxKSqQPQ
LaPrensaTachira,"San Cristóbal, Venezuela","#Nacionales | RESULTADOS SERÁN ENTREGADOS A BACHELET📑 El Dip. Virgilio Ferrer, solicitó que se conforme una comisió… https://t.co/Q6nloeopxO"
ElPitazoTV,Venezuela,#Falcón | Familiares de 22 falconianos desaparecidos en un peñero que zarpó desde Paraguaná para ingresar de forma… https://t.co/mAqp2UDX3h
ZEPortuguesa,@MPPEDUCACION,"#15Abr | En #PortuguesaSeCuida  niños de Aula Integrada de la #UEE Luz de Pereira en el mcpo #Paez, en sus activida… https://t.co/WAoZnh6HCj"
Marco_Teruggi,,Esta tarde analizaremos en vivo con @IsabelRauber la geopolítica global y la situación de América Latina ante el… https://t.co/mAuAoTjaYj
Trolebus_Merida,"Ejido, estado Mérida",#15Abr| El plan nacional de desinfección y embellecimiento que instruyó el Pdte @NicolasMaduro en todo el país inic… https://t.co/117WZGF60J
INAMEH,Venezuela,#15abr #INAMEHInforma  En la secuencia de imágenes se observa nubosidad convectiva con descargas eléctricas al sur… https://t.co/M0rqpPB0Qg
anabarr84,,#15Abr | En #Barinas hasta los motorizados exigen combustible. Antes la gente compraba moticos pensando en que era… https://t.co/EEDLup2VLX
elPeriodicoDM,Maturín Estado Monagas,Artistas del carnaval de Maturín siguen sin recibir pago de premiaciones - https://t.co/42Tlv80noN #15abr #ciudad… https://t.co/tNvCpMLV7P
CealcoOficial,Venezuela,"#15Abr || 📢 Mercal en Nueva Esparta inició Plan de Desinfección de espacios y contención contra el Covid-19.
Puede… https://t.co/qHuAwKWnBO"
